企業名,キャッチコピー,ステータス,初年度年収
株式会社アウトソーシングテクノロジー | 手に職をつけて将来の可能性を広げる／業績安定／WEB面接可,未経験OK！社会に必要な“ものづくりの本質”を感じる【製造職】 正社員,正社員,280万円～500万円
テー・ピー・エスサービス株式会社 | ≪研修2か月≫ 社員定着率93%/Web面接対応可,研修2カ月★未経験から資格取得【ITエンジニア】※残業月約5h 正社員,正社員,236万円～400万円
独立行政法人住宅金融支援機構 | 100%政府出資の政府系金融機関/完全週休2日制/年間休日120日,政府系金融機関の【総合職（事務系/技術系）】※未経験歓迎 正社員,正社員,500万円～650万円
株式会社システムリサーチ | 東京システム事業部／東証一部上場◆プライム案件8割◆WEB面接OK,自社開発拡大【ITエンジニア】*賞与6.3ヵ月*定着率93%*年休123日 正社員,正社員,330万円～700万円
加納コーポレーション株式会社 | 右肩上がりで成長中◎働きやすさも待遇も大切にできる安定環境,★エリア限定採用【もんじゃ店舗のスタッフ・店長候補・SV候補】 正社員,正社員,399万円～994万円
株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％/69％が毎年昇給,年休126日×平均残業7.8h【ITエンジニア】在宅勤務OK／高卒以上 正社員,正社員,306万円～1000万円
株式会社ナサホーム | 大阪府緊急雇用対策に賛同｜転居を伴う転勤なし｜残業少なめ,100％反響！リフォームの【アドバイザー】完全週休2日＆土日祝OK 正社員,正社員,350万円～550万円
株式会社ビッグモーター | 業界No.1／インセンあり／年収800万円以上可能／残業少なめ,月収50万円以上可能【自動車整備スタッフ】*未経験歓迎*45歳以下 正社員,正社員,300万円～1000万円
オリックス生命保険株式会社 | 7月1日入社者10名募集／働きやすい職場／年間休日120日以上,【お客さま対応】*業界未経験者*UIターン*正社員採用*長崎勤務 正社員,正社員,
有限会社イトゼン空調 | ＼未来の「職人」を育てます／◎20代活躍中！◎資格取得支援あり,東海エリアの実績多数！空調設備の【取付スタッフ】*創業30年 正社員,正社員,250万円～400万円
コムテック株式会社 | 完全週休2日制・資格取得支援・年休120日以上・残業月平均8時間,新しい営業スタイルに挑戦！【パートナーセールス】 正社員,正社員,320万円～500万円
株式会社サッポロエンジニアリング | ＜ 名古屋市案件のみ！＞…出張も、転勤も無し！,＼若手育成枠採用／の【 施工管理 】＊残業少なめ＊ 正社員,正社員,400万円～700万円
株式会社アウトソーシングテクノロジー | 新時代に向けた働き方／在宅・テレワーク／PRODESKが成長の味方,＜関西限定＞未経験OK／土日祝休み／20代活躍中【事務系総合職】 正社員,正社員,280万円～500万円
株式会社コシダカ | 【上場グループ企業】土日休みOK★月収29.4万円も目指せる！,社員評価90点越えの働きやすさ！【店舗マネージャー】★高卒以上 正社員,正社員,300万円～850万円
