,企業名,キャッチコピー,ステータス,初年度年収
0,藤田エンジニアリング株式会社 | 【JASDAQ上場】◆1926年創業◆群馬を代表する総合設備工事企業,◆年間休日123日◆創業94年◆快適空間を創造する【営業職】 正社員,正社員,370万円～430万円
1,ニチアスセラテック株式会社 | 東証一部上場ニチアス(株)グループ企業/決算賞与10年連続支給中,半導体分野で活躍！【生産管理】年休123日/賞与昨年実績5.28ヶ月 正社員,正社員,360万円～520万円
2,株式会社デイリーはやしや | 地域に根ざしてセブン‐イレブンと共に成長していく,お弁当やおにぎりの【製造（加熱調理）】 ◎完全週休2日制 正社員,正社員,
3,株式会社パパまるハウス | 【東証一部上場】ヒノキヤグループのグループ企業★TVCMも人気！,急成長企業！年収1000万円以上狙える【反響営業】★経験者限定 正社員,正社員,
